,ISIN,NAME
272,AU000000MTC4,MetalsTech
273,AU000000MTS0,Metcash
274,AU000000MWY2,Midway Ltd
275,AU000000MXC6,MGC Pharmaceuticals
276,AU000000MYR2,Myer Holdings
277,AU000000MZZ2,Matador Mining
278,AU000000NAB4,National Australia Bank
279,AU000000NAG3,Nagambie Resources
280,AU000000NAN9,Nanosonics
281,AU000000NCM7,Newcrest Mining
282,AU000000NCZ9,New Century Resources
283,AU000000NEA8,Nearmap
284,AU000000NEC4,Nine Entertainment
285,AU000000NEW2,New Energy Solar
286,AU000000NGY3,NuEnergy Gas
287,AU000000NHC7,New Hope
288,AU000000NMT1,Neometals
289,AU000000NOR1,Norwood Systems
290,AU000000NST8,Northern Star Resources
291,AU000000NTD0,National Tyre & Wheel
292,AU000000NTU4,Northern Minerals
293,AU000000NUF3,Nufarm
294,AU000000NVA2,Nova Minerals
295,AU000000NVX4,Novonix
296,AU000000NWH5,NRW
297,AU000000NWS2,News Corp. (new)
298,AU000000OEC2,Orbital
299,AU000000OEL3,Otto Energy
300,AU000000OKR7,Okapi Resources
301,AU000000ORA8,Orora
302,AU000000ORG5,Origin Energy
303,AU000000ORI1,Orica
304,AU000000ORM3,Orion Metals
305,AU000000OZL8,OZ Minerals
306,AU000000PAA1,PharmAust HANDELSUNIVERSUM
307,AU000000PAN4,Panoramic Resources
308,AU000000PCL4,PANCONTINENTAL ENERGY NL
309,AU000000PDN8,Paladin Energy
310,AU000000PEN6,Peninsula Energy
311,AU000000PEX5,Peel Mining
312,AU000000PGC4,Paragon Care
313,AU000000PGM3,Platina Resources
314,AU000000PLL5,Piedmont Lithium (CDI)
315,AU000000PLS0,Pilbara Minerals
316,AU000000PNR8,Pantoro
317,AU000000PNV0,PolyNovo
318,AU000000POD6,PODIUM MINERALS
319,AU000000POS4,Poseidon Nickel
320,AU000000PRU3,Perseus Mining
321,AU000000PSC9,Prospect Resources
322,AU000000PTM6,Platinum Asset Mgmt
323,AU000000PXS5,Pharmaxis
324,AU000000QAN2,Qantas Airways
325,AU000000QBE9,QBE Insurance Group
326,AU000000QUB5,Qube Holdings
327,AU000000RCE5,RECCE PHARMACEUTICALS LTD
328,AU000000REA9,REA Group
329,AU000000RED3,Red 5
330,AU000000RFX8,Redflow
331,AU000000RGL1,Riversgold
332,AU000000RHC8,Ramsay Health Care
333,AU000000RIC6,Ridley
334,AU000000RIO1,Rio Tinto Ltd
335,AU000000RMD6,ResMed (CDI)
336,AU000000RMS4,Ramelius Resources
337,AU000000RNU8,Renascor Resources
338,AU000000RRL8,Regis Resources
339,AU000000RSG6,Resolute Mining
340,AU000000RXM4,REX Minerals
341,AU000000S320,South32
342,AU000000SAU3,Southern Gold
343,AU000000SBM8,St. Barbara
344,AU000000SCG8,Scentre Group
345,AU000000SDV5,SciDev HANDELSUNIVERSUM
346,AU000000SEK6,SEEK
347,AU000000SER1,Strategic Energy
348,AU000000SFR8,Sandfire Resources
349,AU000000SGM7,Sims Metal
350,AU000000SGP0,Stockland
351,AU000000SHL7,Sonic Healthcare
352,AU000000SHV6,Select Harvest
353,AU000000SIG5,Sigma Healthcare
354,AU000000SLC8,Superloop
355,AU000000SLR6,Silver Lake Resources
356,AU000000SLX4,Silex Systems
357,AU000000SMR4,Stanmore Resources
358,AU000000SOL3,Washington H. Soul Pattinson
359,AU000000SOM1,SomnoMed
360,AU000000SPL0,Starpharma
361,AU000000STM0,Sunstone Metals
362,AU000000STO6,Santos
363,AU000000STX7,Strike Energy
364,AU000000SUN6,Suncorp
365,AU000000SVL8,Silver Mines
366,AU000000SVM6,Sovereign Metals
367,AU000000SWM4,Seven West Media
368,AU000000SXL4,Southern Cross Media
369,AU000000SYA5,Sayona Mining
370,AU000000SYR9,Syrah Resources
371,AU000000TAH8,Tabcorp Holdings
372,AU000000TAR7,Taruga Minerals
373,AU000000TBR5,Tribune Resources
374,AU000000TCL6,Transurban Group
375,AU000000TDO8,3D Oil
376,AU000000TER9,TerraCom
377,AU000000TLG7,Talga Group
378,AU000000TLM5,Talisman Mining
379,AU000000TMT8,Technology Metals Australia
380,AU000000TNE8,Technology One
381,AU000000TNG3,TNG
382,AU000000TON7,Triton Minerals
383,AU000000TPC7,TPC Consolidated
384,AU000000TWE9,Treasury Wine Estates HANDELSUNIVERSUM
385,AU000000TYX5,Tyranna Resources
386,AU000000VAL6,Valor Resources
387,AU000000VCX7,Vicinity Centres
